"TotalReviewers","NameOfReviewer","FrequentVisitorIn"
"14","Aileen","South End"
"14","Jacques","South Boston"
"14","Terri","nan"
"14","Jin","East Boston"
"14","Stéphanie","Roxbury"
"14","Corinne","Back Bay"
"14","S","East Boston"
"14","Conor","Roxbury"
"14","Sebastien","Roxbury"
"14","Alessandra","nan"
"14","Camilla","Roxbury"
"14","Santiago","Beacon Hill"
"14","Genevieve","South Boston"
"14","Eli","Roslindale"
"14","Jesus","nan"
"14","Katelyn","Dorchester"
"14","Constance","Roxbury"
"14","Wesley","Fenway/Kenmore"
"14","Bernadette","Jamaica Plain"
"13","June","South Boston"
"13","Celia","Jamaica Plain"
"13","Fanny","Jamaica Plain"
"13","Rosie","Jamaica Plain"
"13","Madison","Beacon Hill"
"13","Harriet","North End"
"13","Laetitia","East Boston"
"13","Sierra","East Boston"
"13","Meagan","Jamaica Plain"
"13","Jaclyn","Back Bay"
"13","Ramon","Roslindale"
"13","Yechiel","Allston-Brighton"
"13","Alden","Allston-Brighton"
"13","Walter","South Boston"
"13","Igor","East Boston"
"13","Luisa","Mission Hill"
"13","Abbie","Fenway/Kenmore"
"13","Steph","Jamaica Plain"
"13","Kari","East Boston"
"13","Juliette","East Boston"
"13","Pavel","East Boston"
"13","Julio","nan"
"13","Fabien","Fenway/Kenmore"
"13","Amir","Allston-Brighton"
"13","Paulina","South End"
"13","Chase","South Boston"
"13","Gavin","South Boston"
"13","Maximilian","North End"
"13","Ruben","Charlestown"
"13","Juliana","North End"
"13","Caleb","Dorchester"
"13","Kerstin","East Boston"
"13","Kristy","Roxbury"
"13","Bo","nan"
"13","Joey","nan"
"13","Caitlyn","nan"
"13","Muriel","Dorchester"
"13","Fran","West Roxbury"
"13","Jj","East Boston"
"13","Kent","East Boston"
"13","Marlene","Allston-Brighton"
"12","Sunil","Allston-Brighton"
"12","J","East Boston"
"12","Alec","Allston-Brighton"
"12","Janelle","Jamaica Plain"
"12","Vera","East Boston"
"12","Aimee","nan"
"12","Gene","East Boston"
"12","Lise","North End"
"12","Summer","Fenway/Kenmore"
"12","Gerry","Beacon Hill"
"12","Stefania","Dorchester"
"12","Bryce","Beacon Hill"
"12","Lizzie","Dorchester"
"12","Carolin","North End"
"12","Gabriella","nan"
"12","Bettina","Charlestown"
"12","Kendra","West Roxbury"
"12","Jonny","Fenway/Kenmore"
"12","Lance","Dorchester"
"12","Ravi","Jamaica Plain"
"12","Yuki","Dorchester"
"12","Anne-Marie","Dorchester"
"12","Lea","nan"
"12","Elsa","nan"
"12","Lacey","South End"
"12","Liang","Jamaica Plain"
"12","Moritz","East Boston"
"12","Sonja","East Boston"
"12","Marvin","Roxbury"
"12","Mari","Mission Hill"
"12","Mona","Dorchester"
"12","Ines","Allston-Brighton"
"12","Nichole","Allston-Brighton"
"12","Steffen","South Boston"
"12","Yuri","South End"
"12","Amelia","Allston-Brighton"
"12","Andrés","East Boston"
"12","Becca","Jamaica Plain"
"12","Sylvain","Charlestown"
"12","Dmitry","Dorchester"
"12","Lia","nan"
"12","Davide","Dorchester"
"12","Garrett","Charlestown"
"12","Ursula","Fenway/Kenmore"
"12","Jeanette","Dorchester"
"12","K","nan"
"12","Jennie","Jamaica Plain"
"12","François","Dorchester"
"12","Aharon","nan"
"12","Shan","Roxbury"
"12","Hailey","Beacon Hill"
"12","Carlo","Dorchester"
"12","Jerome","Dorchester"
"12","Duncan","Back Bay"
"12","Han","Jamaica Plain"
"11","Leonard","Allston-Brighton"
"11","Cecile","Roslindale"
"11","Collin","nan"
"11","Ashleigh","Mission Hill"
"11","Anh","Beacon Hill"
"11","Briana","Beacon Hill"
"11","Toni","Fenway/Kenmore"
"11","Owen","Jamaica Plain"
"11","Ahmad","nan"
"11","Brigitte","East Boston"
"11","Min","Jamaica Plain"
"11","Mira","Beacon Hill"
"11","Kerri","Jamaica Plain"
"11","Kellie","East Boston"
"11","Adrien","Jamaica Plain"
"11","Mara","Charlestown"
"11","Malcolm","East Boston"
"11","Etienne","Dorchester"
"11","Bernardo","North End"
"11","Lana","Roxbury"
