Word,Rank,Frequency
suffered,911,9
except,912,9
warmly,913,9
distance,914,9
thus,915,9
news,916,9
ah,917,9
follow,918,9
arrived,919,9
visited,920,9
indifferent,921,9
divided,922,9
ay,923,9
proved,924,9
highest,925,9
superior,926,9
contrary,927,9
suit,928,9
send,929,9
desire,930,9
thirty,931,9
safe,932,9
praise,933,9
intimate,934,9
hill,935,9
rain,936,9
attend,937,9
interval,938,9
convinced,939,9
listening,940,9
fall,941,9
war,942,9
affection,943,9
lord,944,9
complete,945,9
month,946,9
stopped,947,9
otherwise,948,9
fell,949,9
attentions,950,9
escape,951,9
november,952,9
widow,953,9
forgotten,954,9
equally,955,9
intimacy,956,9
secret,957,9
soul,958,9
quick,959,9
imagined,960,9
necessity,961,9
hard,962,9
compliments,963,9
welcome,964,9
removal,965,9
features,966,9
dress,967,9
sensations,968,9
views,969,9
entered,970,9
try,971,9
thoughts,972,9
pray,973,9
hopes,974,9
sounds,975,9
inferior,976,9
arrival,977,9
closed,978,9
excite,979,9
allow,980,9
work,981,9
pause,982,9
capable,983,9
tired,984,9
matters,985,9
cheerful,986,9
quit,987,9
dangerous,988,9
dreadful,989,9
subjects,990,9
recollection,991,9
nerves,992,9
move,993,9
recommend,994,9
possession,995,8
theirs,996,8
acknowledged,997,8
ceased,998,8
curate,999,8
minute,1000,8
body,1001,8
confusion,1002,8
setting,1003,8
acknowledge,1004,8
enjoy,1005,8
parties,1006,8
number,1007,8
spent,1008,8
civility,1009,8
changed,1010,8
lives,1011,8
gradually,1012,8
habit,1013,8
reading,1014,8
increased,1015,8
impression,1016,8
emotion,1017,8
dark,1018,8
families,1019,8
roused,1020,8
favourite,1021,8
laconia,1022,8
judgement,1023,8
reflection,1024,8
standing,1025,8
maid,1026,8
pardon,1027,8
cheeks,1028,8
picture,1029,8
shewn,1030,8
hold,1031,8
interrupted,1032,8
persuade,1033,8
event,1034,8
names,1035,8
loss,1036,8
consequently,1037,8
tolerable,1038,8
ease,1039,8
proud,1040,8
fail,1041,8
aunt,1042,8
shewed,1043,8
spot,1044,8
marrying,1045,8
recovering,1046,8
furniture,1047,8
observing,1048,8
pay,1049,8
earlier,1050,8
arms,1051,8
deep,1052,8
conviction,1053,8
circle,1054,8
scheme,1055,8
burst,1056,8
writing,1057,8
notions,1058,8
distinguished,1059,8
immediate,1060,8
beg,1061,8
convey,1062,8
purpose,1063,8
previously,1064,8
affairs,1065,8
astonished,1066,8
steps,1067,8
monkford,1068,8
public,1069,8
line,1070,8
book,1071,8
whatever,1072,8
observation,1073,8
act,1074,8
story,1075,8
law,1076,8
expression,1077,8
thousand,1078,8
greatest,1079,8
deserved,1080,8
exclaimed,1081,8
judge,1082,8
exertion,1083,8
principal,1084,8
bless,1085,8
gratification,1086,8
fallen,1087,8
form,1088,8
receive,1089,8
whenever,1090,7
intended,1091,7
steady,1092,7
honours,1093,7
command,1094,7
accident,1095,7
sigh,1096,7
sought,1097,7
broken,1098,7
luck,1099,7
horror,1100,7
held,1101,7
authority,1102,7
considerable,1103,7
close,1104,7
sofa,1105,7
note,1106,7
remaining,1107,7
important,1108,7
repeated,1109,7
refused,1110,7
clever,1111,7
prevent,1112,7
unable,1113,7
illness,1114,7
decidedly,1115,7
younger,1116,7
knows,1117,7
difficulty,1118,7
watch,1119,7
amiable,1120,7
mistress,1121,7
secure,1122,7
opposition,1123,7
conscious,1124,7
agree,1125,7
died,1126,7
excuse,1127,7
lose,1128,7
safely,1129,7
disposition,1130,7
improvement,1131,7
expressed,1132,7
infinitely,1133,7
nine,1134,7
support,1135,7
fancy,1136,7
thrown,1137,7
apparent,1138,7
says,1139,7
companions,1140,7
entering,1141,7
laura,1142,7
friendly,1143,7
glow,1144,7
settle,1145,7
momentary,1146,7
connexions,1147,7
principle,1148,7
eagerly,1149,7
speech,1150,7
proposed,1151,7
laughing,1152,7
sweet,1153,7
decision,1154,7
smiles,1155,7
excessively,1156,7
plymouth,1157,7
suddenly,1158,7
westgate,1159,7
parted,1160,7
moved,1161,7
elegance,1162,7
admire,1163,7
catch,1164,7
boys,1165,7
chair,1166,7
choice,1167,7
dancing,1168,7
light,1169,7
led,1170,7
rational,1171,7
passing,1172,7
struggle,1173,7
grounds,1174,7
sudden,1175,7
plain,1176,7
felicity,1177,7
music,1178,7
excited,1179,7
learnt,1180,7
comes,1181,7
habits,1182,7
ourselves,1183,7
courage,1184,7
neighbours,1185,7
collected,1186,7
heaven,1187,7
rate,1188,7
visits,1189,7
persuasion,1190,7
sufficient,1191,7
indies,1192,7
intention,1193,7
quarter,1194,7
delightful,1195,7
carried,1196,7
during,1197,7
rooke,1198,7
bloom,1199,7
sailors,1200,7
seriously,1201,7
recovered,1202,7
foot,1203,7
concerned,1204,7
gentle,1205,7
surgeon,1206,6
moreover,1207,6
explanation,1208,6
odd,1209,6
assistance,1210,6
exquisite,1211,6
established,1212,6
accordingly,1213,6
distinguish,1214,6
greatly,1215,6
hopeless,1216,6
alarm,1217,6
cure,1218,6
fortitude,1219,6
decent,1220,6
save,1221,6
essential,1222,6
receiving,1223,6
consent,1224,6
apparently,1225,6
lucky,1226,6
worst,1227,6
naval,1228,6
twelve,1229,6
higher,1230,6
information,1231,6
events,1232,6
suited,1233,6
dick,1234,6
proceeded,1235,6
england,1236,6
station,1237,6
delay,1238,6
proceed,1239,6
precious,1240,6
distant,1241,6
quitted,1242,6
relief,1243,6
conscience,1244,6
failed,1245,6
houses,1246,6
streets,1247,6
effects,1248,6
points,1249,6
easily,1250,6
education,1251,6
dead,1252,6
hurried,1253,6
forty,1254,6
recovery,1255,6
rise,1256,6
inconvenient,1257,6
recommendation,1258,6
distressed,1259,6
add,1260,6
sending,1261,6
nineteen,1262,6
thirteen,1263,6
