,Awards,col_final1,col_final2,col_final3
10889,Won 1 Primetime Emmy. Another 1 nomination.,0,Won 1 Primetime Emmy, Another 1 nomination
10891,11 nominations.,0,11 nominations,
10899,Nominated for 3 Golden Globes. Another 9 wins & 50 nominations., 50 nominations.,Nominated for 3 Golden Globes, Another 9 wins 
10901,2 wins & 7 nominations., 7 nominations.,2 wins ,0
10903,1 nomination.,0,1 nomination,
10905,6 nominations.,0,6 nominations,
10913,5 wins & 26 nominations., 26 nominations.,5 wins ,0
10914,11 wins.,0,11 wins,
10915,Nominated for 1 Golden Globe. Another 1 win & 10 nominations., 10 nominations.,Nominated for 1 Golden Globe, Another 1 win 
10929,2 wins & 5 nominations., 5 nominations.,2 wins ,0
10935,1 win & 10 nominations., 10 nominations.,1 win ,0
10937,1 nomination.,0,1 nomination,
10940,1 win & 1 nomination., 1 nomination.,1 win ,0
10943,4 wins & 1 nomination., 1 nomination.,4 wins ,0
10947,3 wins.,0,3 wins,
10949,Nominated for 3 Primetime Emmys. Another 2 wins & 7 nominations., 7 nominations.,Nominated for 3 Primetime Emmys, Another 2 wins 
10959,1 nomination.,0,1 nomination,
10960,1 win.,0,1 win,
10967,1 win.,0,1 win,
10969,1 win.,0,1 win,
10984,Won 1 Primetime Emmy. Another 1 win & 13 nominations., 13 nominations.,Won 1 Primetime Emmy, Another 1 win 
10986,Won 4 Primetime Emmys. Another 1 win & 6 nominations., 6 nominations.,Won 4 Primetime Emmys, Another 1 win 
10994,5 wins & 1 nomination., 1 nomination.,5 wins ,0
10999,2 nominations.,0,2 nominations,
11000,1 win & 1 nomination., 1 nomination.,1 win ,0
11002,3 wins & 19 nominations., 19 nominations.,3 wins ,0
11003,8 wins & 6 nominations., 6 nominations.,8 wins ,0
11011,5 wins & 8 nominations., 8 nominations.,5 wins ,0
11024,1 win & 7 nominations., 7 nominations.,1 win ,0
11027,1 win.,0,1 win,
11031,1 win & 1 nomination., 1 nomination.,1 win ,0
11034,1 win & 1 nomination., 1 nomination.,1 win ,0
11069,1 win & 3 nominations., 3 nominations.,1 win ,0
11073,6 nominations.,0,6 nominations,
11074,1 nomination.,0,1 nomination,
11077,4 nominations.,0,4 nominations,
11085,1 nomination.,0,1 nomination,
11087,2 wins & 8 nominations., 8 nominations.,2 wins ,0
11088,1 win & 6 nominations., 6 nominations.,1 win ,0
11099,1 nomination.,0,1 nomination,
11101,1 nomination.,0,1 nomination,
11105,1 nomination.,0,1 nomination,
11107,1 nomination.,0,1 nomination,
11110,1 nomination.,0,1 nomination,
11114,1 win.,0,1 win,
11119,1 nomination.,0,1 nomination,
11122,7 nominations.,0,7 nominations,
11130,4 wins & 6 nominations., 6 nominations.,4 wins ,0
11132,2 nominations.,0,2 nominations,
11134,1 nomination.,0,1 nomination,
11141,1 nomination.,0,1 nomination,
11145,1 nomination.,0,1 nomination,
11147,1 win.,0,1 win,
11149,1 nomination.,0,1 nomination,
11158,6 wins & 5 nominations., 5 nominations.,6 wins ,0
11165,2 wins & 4 nominations., 4 nominations.,2 wins ,0
11179,1 win & 4 nominations., 4 nominations.,1 win ,0
11186,2 wins & 5 nominations., 5 nominations.,2 wins ,0
11203,Nominated for 3 Primetime Emmys. Another 12 nominations.,0,Nominated for 3 Primetime Emmys, Another 12 nominations
11215,1 win & 1 nomination., 1 nomination.,1 win ,0
11216,1 win & 4 nominations., 4 nominations.,1 win ,0
11217,3 wins.,0,3 wins,
11219,3 nominations.,0,3 nominations,
11222,Won 1 Golden Globe. Another 4 wins & 9 nominations., 9 nominations.,Won 1 Golden Globe, Another 4 wins 
11230,1 win & 4 nominations., 4 nominations.,1 win ,0
11235,4 wins & 1 nomination., 1 nomination.,4 wins ,0
11248,5 wins & 3 nominations., 3 nominations.,5 wins ,0
11250,2 nominations.,0,2 nominations,
11253,3 wins & 3 nominations., 3 nominations.,3 wins ,0
11255,3 nominations.,0,3 nominations,
11256,Nominated for 1 Golden Globe. Another 3 wins & 8 nominations., 8 nominations.,Nominated for 1 Golden Globe, Another 3 wins 
11257,3 nominations.,0,3 nominations,
11258,1 win & 3 nominations., 3 nominations.,1 win ,0
11263,Won 2 Golden Globes. Another 15 wins & 26 nominations., 26 nominations.,Won 2 Golden Globes, Another 15 wins 
11266,2 nominations.,0,2 nominations,
11269,1 win.,0,1 win,
11295,3 wins & 5 nominations., 5 nominations.,3 wins ,0
11299,1 win & 4 nominations., 4 nominations.,1 win ,0
11303,2 wins.,0,2 wins,
11325,1 nomination.,0,1 nomination,
11331,1 win.,0,1 win,
11358,3 wins & 3 nominations., 3 nominations.,3 wins ,0
11360,1 nomination.,0,1 nomination,
11361,7 wins & 3 nominations., 3 nominations.,7 wins ,0
11363,1 win & 4 nominations., 4 nominations.,1 win ,0
11368,1 nomination.,0,1 nomination,
11383,Nominated for 1 Oscar. Another 5 wins & 15 nominations., 15 nominations.,Nominated for 1 Oscar, Another 5 wins 
11384,2 wins.,0,2 wins,
11388,1 win.,0,1 win,
11393,1 win & 3 nominations., 3 nominations.,1 win ,0
11395,Nominated for 4 Primetime Emmys. Another 1 win & 1 nomination., 1 nomination.,Nominated for 4 Primetime Emmys, Another 1 win 
11414,1 nomination.,0,1 nomination,
11423,2 nominations.,0,2 nominations,
11432,2 wins & 2 nominations., 2 nominations.,2 wins ,0
11455,1 nomination.,0,1 nomination,
11468,4 wins & 12 nominations., 12 nominations.,4 wins ,0
11472,2 wins.,0,2 wins,
11497,2 wins & 1 nomination., 1 nomination.,2 wins ,0
11503,1 win.,0,1 win,
11507,Nominated for 1 Primetime Emmy. Another 1 win & 5 nominations., 5 nominations.,Nominated for 1 Primetime Emmy, Another 1 win 
11516,1 nomination.,0,1 nomination,
11517,2 wins & 4 nominations., 4 nominations.,2 wins ,0
11526,7 wins & 6 nominations., 6 nominations.,7 wins ,0
11542,3 wins & 1 nomination., 1 nomination.,3 wins ,0
11543,1 win & 1 nomination., 1 nomination.,1 win ,0
11559,1 win & 4 nominations., 4 nominations.,1 win ,0
11568,3 wins & 9 nominations., 9 nominations.,3 wins ,0
11579,9 wins & 3 nominations., 3 nominations.,9 wins ,0
11593,1 nomination.,0,1 nomination,
11600,2 wins & 2 nominations., 2 nominations.,2 wins ,0
11604,4 wins.,0,4 wins,
11620,2 nominations.,0,2 nominations,
11623,2 wins & 2 nominations., 2 nominations.,2 wins ,0
11628,1 nomination.,0,1 nomination,
11635,1 win & 4 nominations., 4 nominations.,1 win ,0
11647,1 win & 3 nominations., 3 nominations.,1 win ,0
11659,1 nomination.,0,1 nomination,
11673,3 wins.,0,3 wins,
11675,2 wins & 2 nominations., 2 nominations.,2 wins ,0
11678,1 win.,0,1 win,
11684,6 wins & 4 nominations., 4 nominations.,6 wins ,0
11688,2 wins.,0,2 wins,
11689,1 nomination.,0,1 nomination,
11698,1 win & 4 nominations., 4 nominations.,1 win ,0
11714,2 nominations.,0,2 nominations,
11730,1 nomination.,0,1 nomination,
11750,1 nomination.,0,1 nomination,
11758,5 wins.,0,5 wins,
11795,1 nomination.,0,1 nomination,
11830,5 wins & 7 nominations., 7 nominations.,5 wins ,0
11836,1 nomination.,0,1 nomination,
11840,Nominated for 2 Primetime Emmys. Another 3 nominations.,0,Nominated for 2 Primetime Emmys, Another 3 nominations
11852,1 nomination.,0,1 nomination,
11854,4 wins.,0,4 wins,
11870,1 win & 1 nomination., 1 nomination.,1 win ,0
11876,1 nomination.,0,1 nomination,
11914,1 nomination.,0,1 nomination,
11933,1 win & 2 nominations., 2 nominations.,1 win ,0
11955,2 nominations.,0,2 nominations,
11960,1 nomination.,0,1 nomination,
11962,1 win.,0,1 win,
11965,1 nomination.,0,1 nomination,
11995,1 nomination.,0,1 nomination,
11999,1 nomination.,0,1 nomination,
12025,Nominated for 1 Primetime Emmy. Another 1 win.,0,Nominated for 1 Primetime Emmy, Another 1 win
12027,1 win.,0,1 win,
12028,2 wins.,0,2 wins,
12049,6 wins & 6 nominations., 6 nominations.,6 wins ,0
12050,4 nominations.,0,4 nominations,
12074,1 win & 1 nomination., 1 nomination.,1 win ,0
12095,2 nominations.,0,2 nominations,
12125,1 nomination.,0,1 nomination,
12126,3 wins & 1 nomination., 1 nomination.,3 wins ,0
12134,1 nomination.,0,1 nomination,
12155,1 nomination.,0,1 nomination,
12191,1 win & 7 nominations., 7 nominations.,1 win ,0
12230,5 wins & 13 nominations., 13 nominations.,5 wins ,0
12231,1 nomination.,0,1 nomination,
12264,1 nomination.,0,1 nomination,
12265,1 nomination.,0,1 nomination,
12272,1 win.,0,1 win,
12285,3 wins & 2 nominations., 2 nominations.,3 wins ,0
12288,1 nomination.,0,1 nomination,
12292,1 nomination.,0,1 nomination,
12303,2 nominations.,0,2 nominations,
12331,3 wins & 22 nominations., 22 nominations.,3 wins ,0
12339,1 nomination.,0,1 nomination,
12359,1 win.,0,1 win,
12400,1 nomination.,0,1 nomination,
12404,2 wins.,0,2 wins,
12431,1 nomination.,0,1 nomination,
12436,1 nomination.,0,1 nomination,
12449,2 nominations.,0,2 nominations,
12469,1 win.,0,1 win,
12492,1 win & 3 nominations., 3 nominations.,1 win ,0
12544,2 wins & 3 nominations., 3 nominations.,2 wins ,0
12551,1 win & 1 nomination., 1 nomination.,1 win ,0
12552,1 nomination.,0,1 nomination,
12576,4 nominations.,0,4 nominations,
12577,2 wins & 2 nominations., 2 nominations.,2 wins ,0
12578,2 nominations.,0,2 nominations,
12579,1 nomination.,0,1 nomination,
12602,1 nomination.,0,1 nomination,
12608,1 nomination.,0,1 nomination,
12627,1 win.,0,1 win,
12628,Nominated for 1 Oscar. Another 1 win & 3 nominations., 3 nominations.,Nominated for 1 Oscar, Another 1 win 
12657,2 wins & 1 nomination., 1 nomination.,2 wins ,0
12689,1 win & 7 nominations., 7 nominations.,1 win ,0
12696,1 nomination.,0,1 nomination,
12697,1 win & 1 nomination., 1 nomination.,1 win ,0
12700,2 wins & 2 nominations., 2 nominations.,2 wins ,0
12702,2 wins & 7 nominations., 7 nominations.,2 wins ,0
12740,Nominated for 1 Oscar. Another 1 nomination.,0,Nominated for 1 Oscar, Another 1 nomination
12770,1 nomination.,0,1 nomination,
12782,1 nomination.,0,1 nomination,
12818,1 nomination.,0,1 nomination,
12828,1 win & 10 nominations., 10 nominations.,1 win ,0
12886,1 win & 1 nomination., 1 nomination.,1 win ,0
12926,1 nomination.,0,1 nomination,
12956,1 nomination.,0,1 nomination,
12991,5 wins & 10 nominations., 10 nominations.,5 wins ,0
13093,4 wins & 5 nominations., 5 nominations.,4 wins ,0
13120,4 wins.,0,4 wins,
13140,1 nomination.,0,1 nomination,
13199,1 win & 2 nominations., 2 nominations.,1 win ,0
13219,3 wins.,0,3 wins,
13326,1 win.,0,1 win,
13342,1 win.,0,1 win,
13345,6 wins.,0,6 wins,
13362,1 nomination.,0,1 nomination,
13381,2 wins & 7 nominations., 7 nominations.,2 wins ,0
13423,1 nomination.,0,1 nomination,
13433,1 win.,0,1 win,
13452,4 nominations.,0,4 nominations,
13544,1 nomination.,0,1 nomination,
13550,1 nomination.,0,1 nomination,
13569,1 win.,0,1 win,
13618,1 win.,0,1 win,
13619,1 nomination.,0,1 nomination,
13620,1 nomination.,0,1 nomination,
13668,1 win.,0,1 win,
13669,5 wins.,0,5 wins,
13699,1 win.,0,1 win,
13727,2 nominations.,0,2 nominations,
13879,1 nomination.,0,1 nomination,
13898,1 nomination.,0,1 nomination,
13997,1 win.,0,1 win,
14003,1 nomination.,0,1 nomination,
14007,1 win.,0,1 win,
14046,1 nomination.,0,1 nomination,
14089,2 nominations.,0,2 nominations,
14136,1 nomination.,0,1 nomination,
14137,2 nominations.,0,2 nominations,
14249,2 wins & 2 nominations., 2 nominations.,2 wins ,0
14346,2 nominations.,0,2 nominations,
14432,2 wins & 2 nominations., 2 nominations.,2 wins ,0
14599,2 wins & 1 nomination., 1 nomination.,2 wins ,0
14652,1 nomination.,0,1 nomination,
14761,1 nomination.,0,1 nomination,
14792,1 nomination.,0,1 nomination,
14800,2 nominations.,0,2 nominations,
14805,1 win.,0,1 win,
14873,1 win.,0,1 win,
14908,1 nomination.,0,1 nomination,
15177,1 nomination.,0,1 nomination,
15180,2 nominations.,0,2 nominations,
15219,2 nominations.,0,2 nominations,
15230,1 nomination.,0,1 nomination,
15234,1 win & 1 nomination., 1 nomination.,1 win ,0
15269,7 nominations.,0,7 nominations,
