,Awards,col_final1,col_final2,col_final3
4916,1 nomination.,0,1 nomination,
4919,5 nominations.,0,5 nominations,
4922,Nominated for 3 Oscars. Another 11 wins & 69 nominations., 69 nominations.,Nominated for 3 Oscars, Another 11 wins 
4924,2 nominations.,0,2 nominations,
4928,Nominated for 3 Primetime Emmys. Another 2 wins & 48 nominations., 48 nominations.,Nominated for 3 Primetime Emmys, Another 2 wins 
4931,1 nomination.,0,1 nomination,
4932,1 win & 1 nomination., 1 nomination.,1 win ,0
4933,4 wins & 12 nominations., 12 nominations.,4 wins ,0
4934,1 win.,0,1 win,
4935,3 wins & 9 nominations., 9 nominations.,3 wins ,0
4936,2 wins & 3 nominations., 3 nominations.,2 wins ,0
4939,8 wins & 11 nominations., 11 nominations.,8 wins ,0
4940,2 nominations.,0,2 nominations,
4942,3 wins & 4 nominations., 4 nominations.,3 wins ,0
4945,2 wins & 5 nominations., 5 nominations.,2 wins ,0
4951,1 win.,0,1 win,
4954,1 win & 28 nominations., 28 nominations.,1 win ,0
4955,13 wins & 11 nominations., 11 nominations.,13 wins ,0
4956,1 nomination.,0,1 nomination,
4959,2 nominations.,0,2 nominations,
4963,1 win & 1 nomination., 1 nomination.,1 win ,0
4964,1 win & 1 nomination., 1 nomination.,1 win ,0
4965,Won 1 Oscar. Another 13 wins & 53 nominations., 53 nominations.,Won 1 Oscar, Another 13 wins 
4966,1 win.,0,1 win,
4970,1 win & 3 nominations., 3 nominations.,1 win ,0
4971,19 wins & 21 nominations., 21 nominations.,19 wins ,0
4975,1 win.,0,1 win,
4977,1 win & 8 nominations., 8 nominations.,1 win ,0
4981,3 wins & 4 nominations., 4 nominations.,3 wins ,0
4982,1 nomination.,0,1 nomination,
4984,Nominated for 1 Golden Globe. Another 3 wins & 27 nominations., 27 nominations.,Nominated for 1 Golden Globe, Another 3 wins 
4985,7 wins & 4 nominations., 4 nominations.,7 wins ,0
4986,1 win & 3 nominations., 3 nominations.,1 win ,0
4988,2 wins & 1 nomination., 1 nomination.,2 wins ,0
4989,Nominated for 1 Oscar. Another 64 wins & 169 nominations., 169 nominations.,Nominated for 1 Oscar, Another 64 wins 
4990,3 wins & 7 nominations., 7 nominations.,3 wins ,0
4993,1 win.,0,1 win,
4994,2 wins.,0,2 wins,
4996,Won 4 Oscars. Another 122 wins & 213 nominations., 213 nominations.,Won 4 Oscars, Another 122 wins 
4999,1 win.,0,1 win,
5000,3 wins & 11 nominations., 11 nominations.,3 wins ,0
5001,3 wins & 4 nominations., 4 nominations.,3 wins ,0
5002,3 nominations.,0,3 nominations,
5003,1 nomination.,0,1 nomination,
5005,2 wins & 2 nominations., 2 nominations.,2 wins ,0
5006,Won 2 Oscars. Another 72 wins & 57 nominations., 57 nominations.,Won 2 Oscars, Another 72 wins 
5008,3 wins & 5 nominations., 5 nominations.,3 wins ,0
5009,3 nominations.,0,3 nominations,
5010,1 nomination.,0,1 nomination,
5015,Nominated for 1 Oscar. Another 6 wins & 45 nominations., 45 nominations.,Nominated for 1 Oscar, Another 6 wins 
5019,1 win & 4 nominations., 4 nominations.,1 win ,0
5021,1 win & 3 nominations., 3 nominations.,1 win ,0
5022,2 wins & 5 nominations., 5 nominations.,2 wins ,0
5027,5 wins & 2 nominations., 2 nominations.,5 wins ,0
5028,11 nominations.,0,11 nominations,
5032,1 win & 4 nominations., 4 nominations.,1 win ,0
5034,1 nomination.,0,1 nomination,
5037,1 nomination.,0,1 nomination,
5038,2 nominations.,0,2 nominations,
5040,Nominated for 1 Primetime Emmy. Another 1 win & 5 nominations., 5 nominations.,Nominated for 1 Primetime Emmy, Another 1 win 
5042,2 nominations.,0,2 nominations,
5043,7 wins & 18 nominations., 18 nominations.,7 wins ,0
5044,2 nominations.,0,2 nominations,
